y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
5,0.000000,0.053700,0.156079,0.468238,0.312814,0.000000,0.000000,0.009168,0.000000
5,0.000000,0.053700,0.156079,0.468238,0.312814,0.000000,0.000000,0.009168,0.000000
5,0.000000,0.053700,0.156079,0.468238,0.312814,0.000000,0.000000,0.009168,0.000000
5,0.000000,0.053700,0.156079,0.468238,0.312814,0.000000,0.000000,0.009168,0.000000
5,0.000000,0.053700,0.156079,0.468238,0.312814,0.000000,0.000000,0.009168,0.000000
6,0.000000,0.062826,0.154087,0.486229,0.284949,0.000000,0.000000,0.011910,0.000000
7,0.000000,0.058153,0.181727,0.502319,0.247023,0.000000,0.000000,0.010778,0.000000
8,0.000000,0.052095,0.196817,0.498855,0.239982,0.000000,0.000000,0.012251,0.000000
9,0.000000,0.053823,0.203866,0.495942,0.236865,0.000000,0.000000,0.009504,0.000000
10,0.000000,0.053366,0.196965,0.508504,0.232508,0.000000,0.000000,0.008657,0.000000
11,0.000000,0.068746,0.189958,0.473276,0.248603,0.002157,0.000000,0.017260,0.000000
12,0.000000,0.090612,0.169007,0.452001,0.260100,0.004040,0.000000,0.024240,0.000000
13,0.000000,0.104045,0.158252,0.427708,0.271409,0.007810,0.000000,0.030776,0.000000
14,0.000000,0.128397,0.129414,0.404049,0.297282,0.010815,0.000000,0.030043,0.000000
15,0.000000,0.118201,0.113769,0.382122,0.307969,0.046265,0.000000,0.031674,0.000000
16,0.000000,0.117545,0.090145,0.351996,0.325418,0.086583,0.000000,0.028313,0.000000
17,0.000000,0.104266,0.069051,0.329901,0.350772,0.119713,0.000000,0.026296,0.000000
18,0.000000,0.103406,0.041531,0.310499,0.361363,0.157629,0.000000,0.025572,0.000000
19,0.000000,0.150258,0.035570,0.264664,0.348006,0.156640,0.000000,0.044862,0.000000
20,0.000000,0.190130,0.032931,0.228251,0.334308,0.158049,0.000000,0.056331,0.000000
21,0.000000,0.228663,0.021976,0.203846,0.318083,0.157526,0.000000,0.069906,0.000000
22,0.000000,0.261974,0.020514,0.168251,0.300367,0.162134,0.000000,0.086760,0.000000
23,0.038598,0.260187,0.015701,0.136729,0.279159,0.160654,0.022710,0.086262,0.000000
24,0.082835,0.254488,0.009256,0.097794,0.256918,0.165108,0.046372,0.087229,0.000000
25,0.118802,0.249932,0.003927,0.070678,0.236782,0.175235,0.066113,0.078532,0.000000
26,0.163626,0.255014,0.000000,0.029222,0.216444,0.167438,0.082222,0.086033,0.000000
27,0.206912,0.229377,0.000000,0.026467,0.188631,0.169714,0.104320,0.074579,0.000000
28,0.269509,0.199524,0.000000,0.020218,0.142439,0.159546,0.140335,0.068429,0.000000
29,0.348132,0.163241,0.000000,0.012332,0.104229,0.152096,0.162693,0.057276,0.000000
30,0.412956,0.138697,0.000000,0.007078,0.071320,0.137264,0.186274,0.046412,0.000000
31,0.471991,0.130528,0.000000,0.005539,0.043688,0.098276,0.204592,0.045386,0.000000
32,0.521931,0.119989,0.000000,0.003595,0.032986,0.062826,0.217778,0.040895,0.000000
33,0.564237,0.106550,0.000000,0.002346,0.021833,0.026705,0.241339,0.036990,0.000000
34,0.585264,0.117016,0.000000,0.001181,0.010357,0.000000,0.246934,0.039248,0.000000
35,0.593419,0.102076,0.000000,0.001450,0.009609,0.000000,0.256912,0.036533,0.000000
36,0.582167,0.112434,0.000000,0.001363,0.011725,0.000000,0.253863,0.038448,0.000000
37,0.570636,0.129091,0.000000,0.001000,0.010273,0.000000,0.244545,0.044455,0.000000
38,0.541480,0.122290,0.000000,0.003384,0.022135,0.033111,0.235343,0.042257,0.000000
39,0.510022,0.129100,0.000000,0.003371,0.038448,0.064049,0.213648,0.041363,0.000000
40,0.452803,0.134837,0.000000,0.005751,0.055140,0.111557,0.194358,0.045554,0.000000
41,0.392023,0.148451,0.000000,0.007813,0.071773,0.150541,0.177614,0.051785,0.000000
