y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
5,0.000000,0.025609,0.102435,0.451511,0.415827,0.000000,0.000000,0.004618,0.000000
5,0.000000,0.025609,0.102435,0.451511,0.415827,0.000000,0.000000,0.004618,0.000000
5,0.000000,0.025609,0.102435,0.451511,0.415827,0.000000,0.000000,0.004618,0.000000
5,0.000000,0.025609,0.102435,0.451511,0.415827,0.000000,0.000000,0.004618,0.000000
5,0.000000,0.025609,0.102435,0.451511,0.415827,0.000000,0.000000,0.004618,0.000000
6,0.000000,0.046653,0.098489,0.440314,0.405361,0.000000,0.000000,0.009182,0.000000
7,0.000000,0.066255,0.121653,0.461937,0.339543,0.000000,0.000000,0.010611,0.000000
8,0.000000,0.065349,0.125894,0.486819,0.306077,0.000000,0.000000,0.015862,0.000000
9,0.000000,0.073699,0.141485,0.479147,0.292049,0.000000,0.000000,0.013621,0.000000
10,0.000000,0.077131,0.147743,0.472417,0.283350,0.000000,0.000000,0.019358,0.000000
11,0.000000,0.083703,0.144744,0.471842,0.284089,0.000000,0.000000,0.015622,0.000000
12,0.000000,0.092408,0.142451,0.456165,0.293148,0.000000,0.000000,0.015828,0.000000
13,0.000000,0.117098,0.130287,0.430429,0.296750,0.001130,0.000000,0.024305,0.000000
14,0.000000,0.138578,0.114634,0.411667,0.298512,0.001572,0.000000,0.035037,0.000000
15,0.000000,0.156589,0.103566,0.386418,0.306010,0.004411,0.000000,0.043007,0.000000
16,0.000000,0.186519,0.087073,0.358356,0.311357,0.005355,0.000000,0.051339,0.000000
17,0.000000,0.175712,0.073755,0.339456,0.328045,0.037202,0.000000,0.045830,0.000000
18,0.000000,0.164544,0.057309,0.313031,0.352898,0.066537,0.000000,0.045681,0.000000
19,0.000000,0.171550,0.033628,0.285701,0.366501,0.099042,0.000000,0.043578,0.000000
20,0.000000,0.173494,0.015107,0.240964,0.390825,0.127525,0.000000,0.052085,0.000000
21,0.000000,0.201899,0.012510,0.218793,0.362067,0.139074,0.000000,0.065656,0.000000
22,0.000000,0.230952,0.011067,0.192628,0.340437,0.142138,0.000000,0.082777,0.000000
23,0.000000,0.267317,0.006927,0.170890,0.315622,0.139993,0.000000,0.099253,0.000000
24,0.000000,0.291392,0.006580,0.140405,0.298417,0.149209,0.000000,0.113996,0.000000
25,0.034855,0.283740,0.007755,0.115885,0.278838,0.150651,0.021483,0.106793,0.000000
26,0.078383,0.276911,0.003990,0.086629,0.247916,0.147987,0.050452,0.107732,0.000000
27,0.117768,0.269412,0.002050,0.057948,0.214585,0.162521,0.070964,0.104752,0.000000
28,0.182116,0.247696,0.000000,0.023573,0.184509,0.157568,0.114233,0.090305,0.000000
29,0.256378,0.211283,0.000000,0.020392,0.142562,0.145616,0.149569,0.074201,0.000000
30,0.317614,0.184895,0.000000,0.013865,0.114202,0.128158,0.175317,0.065949,0.000000
31,0.373776,0.149693,0.000000,0.010705,0.086010,0.124348,0.200933,0.054534,0.000000
32,0.424325,0.131412,0.000000,0.006525,0.058999,0.112561,0.215969,0.050208,0.000000
33,0.466917,0.141821,0.000000,0.004924,0.039753,0.085684,0.208434,0.052467,0.000000
34,0.482165,0.156501,0.000000,0.002943,0.027466,0.050027,0.223560,0.057339,0.000000
35,0.494401,0.179342,0.000000,0.001612,0.016662,0.022395,0.222700,0.062886,0.000000
36,0.495510,0.178092,0.000000,0.001512,0.019650,0.025962,0.214724,0.064551,0.000000
37,0.476918,0.164990,0.000000,0.002515,0.029729,0.056045,0.211963,0.057841,0.000000
38,0.447074,0.148357,0.000000,0.004187,0.042323,0.090653,0.211068,0.056339,0.000000
39,0.413587,0.145636,0.000000,0.006544,0.059913,0.126187,0.197069,0.051065,0.000000
40,0.357372,0.159189,0.000000,0.010460,0.093678,0.131939,0.184604,0.062758,0.000000
