y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
5,0.000000,0.015007,0.170366,0.515959,0.295075,0.000000,0.000000,0.003593,0.000000
5,0.000000,0.015007,0.170366,0.515959,0.295075,0.000000,0.000000,0.003593,0.000000
5,0.000000,0.015007,0.170366,0.515959,0.295075,0.000000,0.000000,0.003593,0.000000
5,0.000000,0.015007,0.170366,0.515959,0.295075,0.000000,0.000000,0.003593,0.000000
5,0.000000,0.015007,0.170366,0.515959,0.295075,0.000000,0.000000,0.003593,0.000000
6,0.000000,0.027216,0.195605,0.521321,0.251201,0.000000,0.000000,0.004657,0.000000
7,0.000000,0.028551,0.227311,0.521443,0.215891,0.000000,0.000000,0.006804,0.000000
8,0.000000,0.035694,0.243300,0.518181,0.195374,0.000000,0.000000,0.007450,0.000000
9,0.000000,0.034873,0.239232,0.527660,0.191905,0.000000,0.000000,0.006331,0.000000
10,0.000000,0.039018,0.232312,0.521505,0.200279,0.000000,0.000000,0.006886,0.000000
11,0.000000,0.036798,0.226086,0.514209,0.215201,0.000000,0.000000,0.007706,0.000000
12,0.000000,0.040866,0.213559,0.511488,0.227401,0.000000,0.000000,0.006685,0.000000
13,0.000000,0.060390,0.208442,0.483488,0.231633,0.002319,0.000000,0.013729,0.000000
14,0.000000,0.082411,0.182681,0.463399,0.247512,0.005023,0.000000,0.018975,0.000000
15,0.000000,0.095116,0.163515,0.448678,0.263129,0.008997,0.000000,0.020566,0.000000
16,0.000000,0.109355,0.143797,0.415586,0.289238,0.013704,0.000000,0.028321,0.000000
17,0.000000,0.110711,0.120776,0.397969,0.298800,0.046537,0.000000,0.025208,0.000000
18,0.000000,0.099926,0.095966,0.375391,0.320685,0.080678,0.000000,0.027353,0.000000
19,0.000000,0.101975,0.064935,0.345711,0.339949,0.122096,0.000000,0.025334,0.000000
20,0.000000,0.108295,0.041290,0.304608,0.360369,0.158157,0.000000,0.027281,0.000000
21,0.000000,0.144935,0.033580,0.273310,0.338640,0.164516,0.000000,0.045018,0.000000
22,0.000000,0.178770,0.026606,0.237722,0.327472,0.171207,0.000000,0.058223,0.000000
23,0.000000,0.223734,0.023899,0.204890,0.314827,0.163158,0.000000,0.069492,0.000000
24,0.000000,0.263621,0.018987,0.170152,0.298661,0.161438,0.000000,0.087140,0.000000
25,0.041187,0.251689,0.014977,0.136895,0.275890,0.167854,0.021644,0.089863,0.000000
26,0.079679,0.248402,0.008103,0.108670,0.253534,0.175025,0.045737,0.080850,0.000000
27,0.124539,0.248719,0.003777,0.066271,0.228756,0.181009,0.061325,0.085604,0.000000
28,0.201094,0.239645,0.000000,0.028062,0.196611,0.168191,0.094226,0.072171,0.000000
29,0.278407,0.194387,0.000000,0.023993,0.157356,0.152648,0.127388,0.065822,0.000000
30,0.334513,0.177693,0.000000,0.016426,0.122788,0.139849,0.153190,0.055540,0.000000
31,0.405477,0.143524,0.000000,0.009709,0.088386,0.137663,0.170361,0.044880,0.000000
32,0.451102,0.127390,0.000000,0.006647,0.057367,0.125660,0.185212,0.046622,0.000000
33,0.483004,0.145266,0.000000,0.003919,0.047298,0.079194,0.196756,0.044564,0.000000
34,0.499314,0.156196,0.000000,0.002378,0.032556,0.050937,0.206219,0.052401,0.000000
35,0.507800,0.177539,0.000000,0.002463,0.021713,0.020801,0.212572,0.057112,0.000000
36,0.503105,0.173790,0.000000,0.002648,0.023379,0.026484,0.213607,0.056986,0.000000
37,0.487399,0.156128,0.000000,0.003912,0.034938,0.056865,0.210900,0.049859,0.000000
38,0.461686,0.144408,0.000000,0.004105,0.046889,0.090768,0.202518,0.049626,0.000000
39,0.422818,0.142636,0.000000,0.007182,0.063000,0.131545,0.184818,0.048000,0.000000
40,0.377520,0.154548,0.000000,0.011404,0.094426,0.148070,0.163762,0.050269,0.000000
41,0.309661,0.186895,0.000000,0.019732,0.126396,0.162975,0.137937,0.056404,0.000000
42,0.241628,0.216558,0.000000,0.024135,0.167259,0.163330,0.117961,0.069130,0.000000
43,0.170561,0.249065,0.000000,0.033551,0.205514,0.178972,0.084112,0.078224,0.000000
