y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
5,0.000000,0.011645,0.278852,0.524641,0.183198,0.000000,0.000000,0.001664,0.000000
5,0.000000,0.011645,0.278852,0.524641,0.183198,0.000000,0.000000,0.001664,0.000000
5,0.000000,0.011645,0.278852,0.524641,0.183198,0.000000,0.000000,0.001664,0.000000
5,0.000000,0.011645,0.278852,0.524641,0.183198,0.000000,0.000000,0.001664,0.000000
5,0.000000,0.011645,0.278852,0.524641,0.183198,0.000000,0.000000,0.001664,0.000000
6,0.000000,0.012981,0.270566,0.545070,0.168320,0.000000,0.000000,0.003063,0.000000
7,0.000000,0.017261,0.305476,0.526884,0.148764,0.000000,0.000000,0.001614,0.000000
8,0.000000,0.020925,0.320958,0.517494,0.136348,0.000000,0.000000,0.004275,0.000000
9,0.000000,0.019662,0.320719,0.508562,0.147463,0.000000,0.000000,0.003594,0.000000
10,0.000000,0.022362,0.310632,0.514129,0.147896,0.000000,0.000000,0.004981,0.000000
11,0.000000,0.024808,0.300687,0.509116,0.161204,0.000000,0.000000,0.004185,0.000000
12,0.000000,0.023401,0.287750,0.518008,0.167180,0.000000,0.000000,0.003659,0.000000
13,0.000000,0.036376,0.263416,0.500189,0.186413,0.004252,0.000000,0.009354,0.000000
14,0.000000,0.050697,0.244318,0.473950,0.206529,0.010289,0.000000,0.014218,0.000000
15,0.000000,0.061507,0.221648,0.454839,0.229313,0.018286,0.000000,0.014407,0.000000
16,0.000000,0.071169,0.208318,0.429195,0.249090,0.026483,0.000000,0.015744,0.000000
17,0.000000,0.069782,0.187110,0.408208,0.253367,0.065805,0.000000,0.015728,0.000000
18,0.000000,0.047139,0.084473,0.464376,0.314502,0.080515,0.000000,0.008996,0.000000
19,0.000000,0.063505,0.118338,0.361337,0.290967,0.150136,0.000000,0.015718,0.000000
20,0.000000,0.069330,0.071680,0.342222,0.313929,0.183766,0.000000,0.019073,0.000000
21,0.000000,0.112884,0.062472,0.298214,0.306011,0.189863,0.000000,0.030556,0.000000
22,0.000000,0.148903,0.048903,0.263711,0.312157,0.183272,0.000000,0.043053,0.000000
23,0.000000,0.195364,0.039735,0.220751,0.299945,0.191041,0.000000,0.053164,0.000000
24,0.000000,0.236056,0.027933,0.189286,0.294404,0.183681,0.000000,0.068639,0.000000
25,0.043325,0.228896,0.019431,0.150242,0.277148,0.187430,0.018129,0.075400,0.000000
26,0.082257,0.233386,0.015522,0.112371,0.262199,0.185147,0.040989,0.068129,0.000000
27,0.128469,0.230855,0.006776,0.077694,0.238745,0.193075,0.054395,0.069990,0.000000
28,0.207362,0.211670,0.000000,0.031189,0.208579,0.185258,0.091037,0.064906,0.000000
29,0.279952,0.186387,0.000000,0.026243,0.163205,0.173034,0.117396,0.053783,0.000000
30,0.351709,0.157743,0.000000,0.019555,0.118354,0.152994,0.150107,0.049539,0.000000
31,0.411296,0.142168,0.000000,0.010201,0.100714,0.132152,0.159232,0.044236,0.000000
32,0.455169,0.125618,0.000000,0.007045,0.063220,0.122049,0.186642,0.040256,0.000000
33,0.481407,0.130562,0.000000,0.005391,0.051987,0.081955,0.201736,0.046962,0.000000
34,0.499405,0.151387,0.000000,0.004121,0.039656,0.052111,0.203132,0.050188,0.000000
35,0.576013,0.176233,0.000000,0.004585,0.032459,0.024299,0.141665,0.044746,0.000000
36,0.572277,0.178180,0.000000,0.002376,0.034814,0.030702,0.138523,0.043129,0.000000
37,0.564967,0.153235,0.000000,0.003381,0.039931,0.064876,0.133406,0.040205,0.000000
38,0.465516,0.142139,0.000000,0.006577,0.055358,0.091349,0.191559,0.047502,0.000000
39,0.424031,0.139721,0.000000,0.006981,0.070825,0.138986,0.175730,0.043726,0.000000
40,0.390800,0.151032,0.000000,0.012677,0.099511,0.144422,0.154473,0.047084,0.000000
41,0.322097,0.176540,0.000000,0.019171,0.136471,0.162003,0.130565,0.053153,0.000000
42,0.254496,0.198093,0.000000,0.027157,0.176294,0.182198,0.099092,0.062670,0.000000
43,0.182231,0.231741,0.000000,0.037246,0.221112,0.191225,0.068586,0.067860,0.000000
44,0.125271,0.235619,0.007145,0.071002,0.238513,0.195098,0.058882,0.068470,0.000000
45,0.089776,0.225163,0.014090,0.118678,0.257948,0.191835,0.033237,0.069274,0.000000
46,0.046792,0.228075,0.020454,0.154041,0.279301,0.181374,0.019187,0.070776,0.000000
47,0.000000,0.234934,0.029367,0.197820,0.282317,0.183137,0.000000,0.072426,0.000000
48,0.000000,0.195877,0.034780,0.225118,0.301671,0.185434,0.000000,0.057120,0.000000
49,0.000000,0.150295,0.046524,0.259973,0.311495,0.190095,0.000000,0.041617,0.000000
50,0.000000,0.107557,0.061617,0.304639,0.304911,0.192280,0.000000,0.028996,0.000000
51,0.000000,0.070967,0.074519,0.336249,0.311287,0.189669,0.000000,0.017309,0.000000
52,0.000000,0.066540,0.114147,0.363177,0.296727,0.144261,0.000000,0.015147,0.000000
53,0.000000,0.064156,0.157260,0.380490,0.271869,0.109347,0.000000,0.016878,0.000000
54,0.000000,0.052443,0.127349,0.474283,0.293848,0.043183,0.000000,0.008893,0.000000
55,0.000000,0.064146,0.224328,0.435623,0.231722,0.028099,0.000000,0.016083,0.000000
56,0.000000,0.055979,0.232289,0.456393,0.222975,0.019569,0.000000,0.012795,0.000000
57,0.000000,0.047484,0.268256,0.457719,0.203178,0.012864,0.000000,0.010499,0.000000
58,0.000000,0.032847,0.277553,0.497788,0.179388,0.005365,0.000000,0.007059,0.000000
59,0.000000,0.019473,0.302501,0.514223,0.159889,0.000000,0.000000,0.003914,0.000000
60,0.000000,0.022105,0.314247,0.509397,0.149869,0.000000,0.000000,0.004382,0.000000
61,0.000000,0.020382,0.321185,0.503916,0.150703,0.000000,0.000000,0.003815,0.000000
62,0.000000,0.020410,0.319312,0.514401,0.143701,0.000000,0.000000,0.002176,0.000000
63,0.000000,0.017095,0.315871,0.519797,0.143487,0.000000,0.000000,0.003750,0.000000
64,0.000000,0.018673,0.298406,0.541151,0.139153,0.000000,0.000000,0.002617,0.000000
65,0.000000,0.018352,0.283858,0.546015,0.149364,0.000000,0.000000,0.002411,0.000000
65,0.000000,0.018352,0.283858,0.546015,0.149364,0.000000,0.000000,0.002411,0.000000
65,0.000000,0.018352,0.283858,0.546015,0.149364,0.000000,0.000000,0.002411,0.000000
65,0.000000,0.018352,0.283858,0.546015,0.149364,0.000000,0.000000,0.002411,0.000000
65,0.000000,0.018352,0.283858,0.546015,0.149364,0.000000,0.000000,0.002411,0.000000
65,0.000000,0.018352,0.283858,0.546015,0.149364,0.000000,0.000000,0.002411,0.000000
