y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.081301,0.470436,0.448263,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.081301,0.470436,0.448263,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.081301,0.470436,0.448263,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.081301,0.470436,0.448263,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.102643,0.453939,0.443418,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.115585,0.461782,0.422632,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.018336,0.130663,0.497997,0.349923,0.000000,0.000000,0.003082,0.000000
8,0.000000,0.034238,0.144050,0.520251,0.297008,0.000000,0.000000,0.004454,0.000000
9,0.000000,0.041149,0.175336,0.511128,0.265528,0.000000,0.000000,0.006858,0.000000
10,0.000000,0.052867,0.181310,0.500000,0.254902,0.000000,0.000000,0.010921,0.000000
11,0.000000,0.060060,0.169909,0.509366,0.248338,0.000000,0.000000,0.012326,0.000000
12,0.000000,0.067320,0.168719,0.478776,0.271673,0.000000,0.000000,0.013512,0.000000
13,0.000000,0.072366,0.166844,0.478657,0.266643,0.000000,0.000000,0.015490,0.000000
14,0.000000,0.082176,0.144337,0.476925,0.279845,0.000000,0.000000,0.016718,0.000000
15,0.000000,0.097868,0.139795,0.450006,0.291603,0.001178,0.000000,0.019550,0.000000
16,0.000000,0.121701,0.119934,0.426484,0.296418,0.001414,0.000000,0.034048,0.000000
17,0.000000,0.141721,0.111319,0.401310,0.299345,0.003742,0.000000,0.042563,0.000000
18,0.000000,0.163436,0.104026,0.375158,0.307031,0.005964,0.000000,0.044386,0.000000
19,0.000000,0.163813,0.077512,0.345313,0.331230,0.037179,0.000000,0.044953,0.000000
20,0.000000,0.160514,0.059528,0.307394,0.356945,0.070724,0.000000,0.044895,0.000000
21,0.000000,0.170521,0.038168,0.283678,0.362708,0.101482,0.000000,0.043444,0.000000
22,0.000000,0.173336,0.013037,0.239202,0.400408,0.124136,0.000000,0.049881,0.000000
23,0.000000,0.203768,0.012290,0.210430,0.365955,0.147025,0.000000,0.060533,0.000000
24,0.000000,0.239340,0.010689,0.186825,0.344952,0.138724,0.000000,0.079470,0.000000
25,0.000000,0.267278,0.008815,0.163023,0.312764,0.149506,0.000000,0.098613,0.000000
26,0.000000,0.305605,0.006573,0.135413,0.285885,0.148440,0.000000,0.118083,0.000000
27,0.036725,0.293799,0.005900,0.107405,0.267188,0.148104,0.029139,0.111740,0.000000
28,0.116102,0.263801,0.004358,0.080387,0.225908,0.138620,0.071065,0.099758,0.000000
29,0.179534,0.244775,0.001087,0.047964,0.190407,0.141356,0.105956,0.088921,0.000000
30,0.240627,0.220821,0.000000,0.019217,0.164584,0.134049,0.132988,0.087715,0.000000
31,0.304227,0.200347,0.000000,0.016908,0.128199,0.125420,0.151592,0.073306,0.000000
32,0.335824,0.195217,0.000000,0.010232,0.103702,0.110945,0.176362,0.067717,0.000000
33,0.366922,0.196769,0.000000,0.010228,0.070432,0.108322,0.177940,0.069386,0.000000
34,0.397180,0.170847,0.000000,0.004739,0.055369,0.118137,0.191770,0.061958,0.000000
35,0.411711,0.178751,0.000000,0.003545,0.051578,0.103042,0.189501,0.061871,0.000000
36,0.405322,0.177364,0.000000,0.004911,0.051508,0.109753,0.186729,0.064413,0.000000
37,0.390807,0.177176,0.000000,0.006453,0.060342,0.118986,0.184422,0.061814,0.000000
38,0.356643,0.192136,0.000000,0.009744,0.079101,0.121289,0.174367,0.066720,0.000000
39,0.329117,0.195952,0.000000,0.011615,0.102116,0.132475,0.159499,0.069227,0.000000
40,0.264757,0.214111,0.000000,0.015834,0.138549,0.142741,0.145651,0.078356,0.000000
41,0.210932,0.239507,0.000000,0.022765,0.166350,0.151767,0.121176,0.087503,0.000000
42,0.159315,0.256571,0.001737,0.051175,0.197407,0.148779,0.083710,0.101308,0.000000
43,0.073053,0.284123,0.003049,0.084428,0.238977,0.163813,0.046083,0.106473,0.000000
44,0.038242,0.293109,0.005596,0.111577,0.259648,0.153783,0.026116,0.111927,0.000000
45,0.000000,0.304388,0.007778,0.143720,0.289529,0.146506,0.000000,0.108080,0.000000
46,0.000000,0.276319,0.010882,0.154365,0.310622,0.144902,0.000000,0.102910,0.000000
47,0.000000,0.230111,0.013591,0.193087,0.338020,0.144464,0.000000,0.080726,0.000000
48,0.000000,0.207655,0.014398,0.212572,0.364860,0.136837,0.000000,0.063678,0.000000
49,0.000000,0.179193,0.014261,0.231677,0.393454,0.134307,0.000000,0.047107,0.000000
50,0.000000,0.178885,0.031799,0.262720,0.376850,0.098751,0.000000,0.050994,0.000000
51,0.000000,0.168232,0.056567,0.303202,0.353547,0.070596,0.000000,0.047856,0.000000
52,0.000000,0.167975,0.075566,0.335837,0.341641,0.037328,0.000000,0.041652,0.000000
