y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
5,0.000000,0.000000,0.169129,0.500114,0.330757,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.169129,0.500114,0.330757,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.169129,0.500114,0.330757,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.169129,0.500114,0.330757,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.169129,0.500114,0.330757,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.183927,0.542409,0.273663,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.011327,0.219040,0.561156,0.206567,0.000000,0.000000,0.001909,0.000000
8,0.000000,0.019561,0.249435,0.547829,0.178652,0.000000,0.000000,0.004523,0.000000
9,0.000000,0.023558,0.253433,0.538348,0.180541,0.000000,0.000000,0.004120,0.000000
10,0.000000,0.024011,0.257076,0.539491,0.172780,0.000000,0.000000,0.006641,0.000000
11,0.000000,0.028302,0.261966,0.521053,0.182820,0.000000,0.000000,0.005859,0.000000
12,0.000000,0.032229,0.254879,0.517347,0.188350,0.000000,0.000000,0.007195,0.000000
13,0.000000,0.035811,0.241580,0.525261,0.190573,0.000000,0.000000,0.006775,0.000000
14,0.000000,0.039685,0.226241,0.519225,0.207064,0.000000,0.000000,0.007785,0.000000
15,0.000000,0.056620,0.219812,0.489765,0.217934,0.002817,0.000000,0.013052,0.000000
16,0.000000,0.073441,0.204619,0.466882,0.234088,0.005727,0.000000,0.015242,0.000000
17,0.000000,0.082909,0.185202,0.445759,0.258009,0.008373,0.000000,0.019749,0.000000
18,0.000000,0.104834,0.155074,0.430579,0.272241,0.012877,0.000000,0.024395,0.000000
19,0.000000,0.103652,0.127453,0.387445,0.306232,0.049146,0.000000,0.026072,0.000000
20,0.000000,0.110196,0.096897,0.353660,0.322718,0.089478,0.000000,0.027051,0.000000
21,0.000000,0.110319,0.067563,0.335919,0.335829,0.123579,0.000000,0.026791,0.000000
22,0.000000,0.117486,0.034936,0.300556,0.365958,0.154155,0.000000,0.026909,0.000000
23,0.000000,0.147422,0.032671,0.264680,0.348460,0.162907,0.000000,0.043860,0.000000
24,0.000000,0.190895,0.026843,0.230888,0.332547,0.158973,0.000000,0.059853,0.000000
25,0.000000,0.225611,0.021771,0.198696,0.308653,0.171137,0.000000,0.074132,0.000000
26,0.000000,0.264701,0.014746,0.167395,0.294830,0.173129,0.000000,0.085199,0.000000
27,0.043011,0.262040,0.012741,0.133641,0.260233,0.183157,0.021686,0.083491,0.000000
28,0.119902,0.235615,0.009104,0.091588,0.231245,0.168063,0.063638,0.080845,0.000000
29,0.196025,0.219730,0.004194,0.058352,0.197484,0.159737,0.096645,0.067834,0.000000
30,0.257320,0.212992,0.000000,0.024597,0.168484,0.151996,0.120461,0.064150,0.000000
31,0.324779,0.189241,0.000000,0.018267,0.135537,0.132067,0.138095,0.062015,0.000000
32,0.351398,0.185603,0.000000,0.014764,0.108299,0.125264,0.154791,0.059881,0.000000
33,0.381026,0.185729,0.000000,0.010116,0.078648,0.112640,0.169780,0.062061,0.000000
34,0.396412,0.177033,0.000000,0.006101,0.064020,0.122666,0.178217,0.055550,0.000000
35,0.412830,0.171065,0.000000,0.005369,0.062693,0.108735,0.184076,0.055232,0.000000
36,0.415641,0.170438,0.000000,0.006064,0.056119,0.113776,0.179490,0.058472,0.000000
37,0.396019,0.169893,0.000000,0.006788,0.060820,0.129621,0.175397,0.061462,0.000000
