y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
4,0.000000,0.000000,0.218832,0.615486,0.165682,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.218832,0.615486,0.165682,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.218832,0.615486,0.165682,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.218832,0.615486,0.165682,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.230098,0.558997,0.210905,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.275528,0.561030,0.163442,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.006215,0.312368,0.559354,0.120945,0.000000,0.000000,0.001119,0.000000
8,0.000000,0.010740,0.342892,0.535651,0.108503,0.000000,0.000000,0.002214,0.000000
9,0.000000,0.012758,0.354009,0.515818,0.115444,0.000000,0.000000,0.001971,0.000000
10,0.000000,0.013081,0.350907,0.510455,0.123179,0.000000,0.000000,0.002378,0.000000
11,0.000000,0.017007,0.341302,0.514480,0.124684,0.000000,0.000000,0.002527,0.000000
12,0.000000,0.015260,0.333742,0.510362,0.136492,0.000000,0.000000,0.004145,0.000000
13,0.000000,0.018781,0.321029,0.512166,0.144879,0.000000,0.000000,0.003146,0.000000
14,0.000000,0.017762,0.310291,0.524080,0.144296,0.000000,0.000000,0.003571,0.000000
15,0.000000,0.032645,0.292443,0.497681,0.166409,0.004910,0.000000,0.005911,0.000000
16,0.000000,0.041004,0.268001,0.478024,0.190906,0.011524,0.000000,0.010541,0.000000
17,0.000000,0.054662,0.255060,0.449313,0.208077,0.021142,0.000000,0.011746,0.000000
18,0.000000,0.051747,0.165809,0.496523,0.273097,0.004154,0.000000,0.008670,0.000000
19,0.000000,0.062788,0.187641,0.412323,0.254133,0.068660,0.000000,0.014455,0.000000
20,0.000000,0.066937,0.150607,0.381377,0.280072,0.105443,0.000000,0.015565,0.000000
21,0.000000,0.072302,0.108903,0.354047,0.297302,0.152248,0.000000,0.015198,0.000000
22,0.000000,0.079934,0.066060,0.329934,0.325616,0.179438,0.000000,0.019019,0.000000
23,0.000000,0.114259,0.056758,0.300511,0.317046,0.179563,0.000000,0.031863,0.000000
24,0.000000,0.157600,0.038287,0.269049,0.305061,0.182619,0.000000,0.047384,0.000000
25,0.000000,0.196511,0.033758,0.226308,0.299576,0.188025,0.000000,0.055823,0.000000
26,0.000000,0.235591,0.029472,0.188903,0.286490,0.185722,0.000000,0.073821,0.000000
27,0.046227,0.230948,0.020236,0.148519,0.273276,0.190662,0.018843,0.071289,0.000000
28,0.128523,0.221886,0.013219,0.100615,0.237951,0.176444,0.053980,0.067383,0.000000
29,0.203868,0.196535,0.005867,0.063801,0.212852,0.169860,0.087817,0.059400,0.000000
30,0.261376,0.194587,0.000000,0.027339,0.187890,0.155963,0.113761,0.059083,0.000000
31,0.319034,0.181885,0.000000,0.021220,0.148723,0.137608,0.132923,0.058607,0.000000
32,0.351688,0.190407,0.000000,0.016292,0.114135,0.123965,0.152362,0.051151,0.000000
33,0.393841,0.180178,0.000000,0.010773,0.086722,0.112039,0.158991,0.057456,0.000000
34,0.421100,0.165950,0.000000,0.006896,0.071198,0.114275,0.169533,0.051048,0.000000
35,0.476349,0.172302,0.000000,0.005306,0.055126,0.130486,0.118705,0.041727,0.000000
36,0.477350,0.176164,0.000000,0.004853,0.049614,0.136617,0.111990,0.043412,0.000000
37,0.457880,0.169559,0.000000,0.005574,0.061314,0.152657,0.105997,0.047020,0.000000
38,0.377917,0.181688,0.000000,0.011041,0.092101,0.125224,0.153680,0.058348,0.000000
39,0.344202,0.180364,0.000000,0.017241,0.124710,0.137395,0.137484,0.058603,0.000000
40,0.288652,0.191773,0.000000,0.024716,0.156684,0.159120,0.120242,0.058813,0.000000
41,0.237350,0.205938,0.000000,0.031773,0.192541,0.168643,0.100842,0.062913,0.000000
42,0.176062,0.208223,0.004477,0.062768,0.224303,0.188488,0.074555,0.061124,0.000000
43,0.088450,0.226219,0.014697,0.114507,0.254621,0.188982,0.038860,0.073663,0.000000
44,0.044410,0.231601,0.022881,0.143140,0.272588,0.192415,0.018197,0.074768,0.000000
45,0.000000,0.231508,0.030431,0.188510,0.287343,0.188959,0.000000,0.073250,0.000000
46,0.000000,0.199125,0.039753,0.220833,0.293639,0.188315,0.000000,0.058335,0.000000
47,0.000000,0.156966,0.047241,0.255281,0.309297,0.187806,0.000000,0.043409,0.000000
48,0.000000,0.113132,0.052599,0.294018,0.323081,0.184898,0.000000,0.032272,0.000000
49,0.000000,0.077972,0.063526,0.336294,0.314939,0.187618,0.000000,0.019650,0.000000
50,0.000000,0.077581,0.098408,0.357253,0.311687,0.137699,0.000000,0.017372,0.000000
51,0.000000,0.071630,0.135797,0.389460,0.285974,0.099299,0.000000,0.017839,0.000000
52,0.000000,0.071317,0.177882,0.407855,0.257347,0.068846,0.000000,0.016754,0.000000
53,0.000000,0.064854,0.222394,0.433691,0.233582,0.027560,0.000000,0.017919,0.000000
54,0.000000,0.038931,0.200492,0.524161,0.226933,0.002097,0.000000,0.007385,0.000000
55,0.000000,0.036858,0.292218,0.469665,0.176717,0.015692,0.000000,0.008850,0.000000
56,0.000000,0.033040,0.298843,0.493938,0.159926,0.006478,0.000000,0.007774,0.000000
57,0.000000,0.016193,0.328121,0.517720,0.135098,0.000000,0.000000,0.002869,0.000000
58,0.000000,0.016221,0.329263,0.517572,0.133681,0.000000,0.000000,0.003263,0.000000
59,0.000000,0.013891,0.350197,0.501502,0.131969,0.000000,0.000000,0.002440,0.000000
60,0.000000,0.013207,0.354869,0.511544,0.117625,0.000000,0.000000,0.002755,0.000000
61,0.000000,0.012588,0.374939,0.499661,0.110197,0.000000,0.000000,0.002615,0.000000
62,0.000000,0.010975,0.383407,0.494563,0.109041,0.000000,0.000000,0.002014,0.000000
63,0.000000,0.010103,0.370378,0.512575,0.105868,0.000000,0.000000,0.001075,0.000000
64,0.000000,0.004260,0.345193,0.541854,0.107887,0.000000,0.000000,0.000806,0.000000
65,0.000000,0.000000,0.310185,0.551058,0.138757,0.000000,0.000000,0.000000,0.000000
66,0.000000,0.000000,0.265827,0.532172,0.202001,0.000000,0.000000,0.000000,0.000000
66,0.000000,0.000000,0.265827,0.532172,0.202001,0.000000,0.000000,0.000000,0.000000
66,0.000000,0.000000,0.265827,0.532172,0.202001,0.000000,0.000000,0.000000,0.000000
66,0.000000,0.000000,0.265827,0.532172,0.202001,0.000000,0.000000,0.000000,0.000000
66,0.000000,0.000000,0.265827,0.532172,0.202001,0.000000,0.000000,0.000000,0.000000
